meta,id,tweet,sentiment,emotion,SentimentLabel,EmotionLabel,tweetP
meta,4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid Asi takhle vypad á m ů j life ...,neutral,others,1,4,nen vist bolest vztek smutek zmatek osam lost beznad j a nakonec jen klid asi takhle vypad m j life . .
meta,41616,@nehantics Haan yaar neha 😔😔 kab karega woh post 😭Usne na sach mein photoshoot karna chahiye phir woh post karega … https//tco/5RSlSbZNtt,neutral,sadness,1,5,haan yaar neha pensive face pensive face kab karega woh post loudly crying face usne na sach mein photoshoot karna chahiye phir woh post karega https tco 5rslsbzntt
meta,6648,@RahulGandhi television media congress ke liye nhi h.Ye toh aapko pata chal hi gya hoga.Achha hoga ki Congress ke … https//t.co/HmH8M7PTaK,negative,others,0,4,television media congress ke liye nhi h . ye toh aapko pata chal hi gya hoga . achha hoga ki congress ke https t . co hmh8m7ptak
meta,2512,@AmitShah @narendramodi All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai,positive,others,2,4,all india me nrc lagu kare w kashmir se dhara 370ko khatam kare ham indian ko apse yahi umid hai
meta,610,@Nehr _ who @TypoMantri @anjanaomkashyap Pagal hai kya ? They aren ’ t real issues Mandir is important Hindu khatre mei jo hai !,neutral,others,1,4,who pagal hai kya ? they aren t real issues mandir is important hindu khatre mei jo hai !
meta,14356,@narendramodi jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant … https//t co/XPCzJ7GFqC,positive,joy,2,3,jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar bihar ki jant https t co xpczj7gfqc
meta,5840,@Fakeionist @SAMjhotaXpress @PLiChapel but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? 😭😭😭😭,negative,fear,0,2,but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? loudly crying face loudly crying face
meta,32791,@aajtak @syedasimwaqar @chitraaum @syedzafarBJP Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne me,neutral,others,1,4,ye modi media walon ko bhi maza ata hai hindu muslim ke debate karne me
meta,37480,@TarekFatah Baih tere itjey Kya jalti hai Pakistan se @TheRealPCB chutiye khelne de na unhe bc tu Indian bhi nahi h … https//t.co/ZWVPSNAyoe,negative,anger,0,0,baih tere itjey kya jalti hai pakistan se chutiye khelne de na unhe bc tu indian bhi nahi h https t . co zwvpsnayoe
meta,16395,@desimarthastew Hehe.I saw that coming.And it ’ s actually from someone ’ s shaadi.🤩,neutral,joy,1,3,hehe . i saw that coming . and it s actually from someone s shaadi . star struck
meta,33428,@ECISVEEP Can you answer miscalculated votes on each seat ? One vote matters ! # deshkamahatyohar hai aur apne dhji … https//t.co/SuHS4mx6Dm,neutral,others,1,4,can you answer miscalculated votes on each seat ? one vote matters ! deshkamahatyohar hai aur apne dhji https t . co suhs4mx6dm
meta,19222,@MahaAli3320 Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta ho.Aajzi,neutral,others,1,4,allah pak os k dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor dua dil ma rkhta ho . aajzi
meta,8422,@RavishKumarBlog Bahut hi Samajhdari se Cingress ne ye Faisla liya hai.Aur ummeed karta hoon k Desh ke sabhi Party … https//t.co/EuSG8iYwcH,neutral,others,1,4,bahut hi samajhdari se cingress ne ye faisla liya hai . aur ummeed karta hoon k desh ke sabhi party https t . co eusg8iywch
meta,26930,RT @Mastani4423509 Tu Safar Mera Tu Hi Meri Manzil .... Tere Bina Guzara Aye DiL Hai Mushkil .... 💘🙈 I LOVE U @iamsrk ❤ !! https//t.co/vd3 …,positive,joy,2,3,rt tu safar mera tu hi meri manzil . . tere bina guzara aye dil hai mushkil . . heart with arrow see no evil monkey i love u red heart ! ! https t . co vd3
meta,40285,Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k … https//t co/388Gx5xO2B,positive,joy,2,3,dobar se pm bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k https t co 388gx5xo2b
meta,21403,@Siitae We can face life together and we can spend my money on the both of us but it ’ s still MY money,positive,others,2,4,we can face life together and we can spend my money on the both of us but it s still my money
meta,35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba … https//tco/nXRCxP7ssw,positive,others,2,4,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba https tco nxrcxp7ssw
meta,18017,@its _ tani _ @yabikikainaaat Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad … https//t.co/N3BtVwXkc2,negative,disgust,0,1,tani abe haatt tum flop logo ki aukaad hi kiya h chutiya log ja aapijaan ki chaplusi kar bad https t . co n3btvwxkc2
meta,39736,@marrjao @Shining __ star77 Ohho Very beautiful eyes yarrrrr,positive,joy,2,3,star77 ohho very beautiful eyes yarr
meta,15893,EVRYONE SHIT THE FUCK UP https//t.co/RINOmqkPsZ,negative,anger,0,0,evryone shit the fuck up https t . co rinomqkpsz
meta,5433,@atifthepoet haram khor log ulta chor kotowal ko dantey !! Mulk torney ki bat kerney waley ko or phulon ke har pehn … https//t co/4AkR4OobXv,negative,disgust,0,1,haram khor log ulta chor kotowal ko dantey ! ! mulk torney ki bat kerney waley ko or phulon ke har pehn https t co 4akr4oobxv
meta,23492,RT @BTS _ army _ Fin Also Stade de France is preparing for the concert.Looks so beautiful !😍 See their post on Instagram 👇🏼 https//t.co/OwhP …,positive,joy,2,3,rt army fin also stade de france is preparing for the concert . looks so beautiful ! smiling face with heart eyes see their post on instagram backhand index pointing down medium light skin tone https t . co owhp
meta,13515,@aajtak Jai shree ram Jarurat nahi aandolan ki Guruji Modi h to Mumkinn h Pls trust our PM,positive,joy,2,3,jai shree ram jarurat nahi aandolan ki guruji modi h to mumkinn h pls trust our pm
meta,34678,Phir se lut chalu ho gaya Bjp walo tumhe kuch chut mil raha hai ya nahi Milna to chahiye q ki … https//tco/nWgui2bf1J,neutral,others,1,4,phir se lut chalu ho gaya bjp walo tumhe kuch chut mil raha hai ya nahi milna to chahiye q ki https tco nwgui2bf1j
meta,11310,@AmarUjalaNews Jinko khud Nahi pta ki RamcharitManas kya hai wo bhej rahe h BJP neta ko phle khud samjhna Chahiye f … https//t.co/n9PLv1pkZX,neutral,disgust,1,1,jinko khud nahi pta ki ramcharitmanas kya hai wo bhej rahe h bjp neta ko phle khud samjhna chahiye f https t . co n9plv1pkzx
meta,27883,Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna be sale tere … https//t co/PsshL1I0ma,negative,anger,0,0,abe yhi hai ram rajya kya jisme sbhi sale harami ho jo sale itne berahm se maar rhe ho modi dekhna be sale tere https t co psshl1i0ma
meta,16679,@nsfw _ hs Maybe I'll faing and I won't feel a thing.,neutral,others,1,4,hs maybe i will faing and i will not feel a thing .
meta,26920,Duniya me dil koi kabhi na dadka hota Dadkha hai dil a yar mil ye pyar ka izhar hai Kaho na pyar hai Do premi do p … https//t co/o0IDomFJ3N,neutral,others,1,4,duniya me dil koi kabhi na dadka hota dadkha hai dil a yar mil ye pyar ka izhar hai kaho na pyar hai do premi do p https t co o0idomfj3n
meta,35982,I'm poor poor-ever happy kase God is with me 😇,negative,others,0,4,i am poor poor ever happy kase god is with me smiling face with halo
meta,14603,Madam @SushmaSwaraj ji we always miss you as a # videsh _ mantri,positive,sadness,2,5,madam ji we always miss you as a videsh mantri
meta,37801,@abhisar _ sharma @newsclickin Saw the episode.Nice one sir.Maan gaye yaar @abhisar _ sharma sir aap bahut himmat wa … https//t.co/3lTcaQDDcN,positive,joy,2,3,sharma saw the episode . nice one sir . maan gaye yaar sharma sir aap bahut himmat wa https t . co 3ltcaqddcn
meta,18824,@theskindoctor13 Happy Birthday Doctor sahab 💐 bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe 🎂,positive,joy,2,3,happy birthday doctor sahab bouquet bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe birthday cake
meta,21543,@IndiaToday Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ...,negative,disgust,0,1,teri kimat dokodi ki ho gayi . . amit shah will capture telegana soon . . kcr will resign . .
meta,19116,@sahibasafeena @RubikaLiyaquat ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai ..… https//t.co/KFTAtl7vF9,positive,others,2,4,ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai . . https t . co kftatl7vf9
